Event Rate: [0.44, 0.19, 0.10, 0.03, 0.04, 0.04, 0.06, 0.09, 0.12, 0.15, 0.46, 0.42]
Event Rate: [0.44, 0.18, 0.10, 0.03, 0.04, 0.04, 0.06, 0.10, 0.12, 0.16, 0.47, 0.42]
Event Rate: [0.47, 0.19, 0.10, 0.03, 0.04, 0.04, 0.06, 0.10, 0.12, 0.16, 0.46, 0.42]
Event Rate: [0.43, 0.16, 0.09, 0.02, 0.03, 0.03, 0.05, 0.08, 0.10, 0.12, 0.44, 0.41]
Event Rate: [0.43, 0.17, 0.09, 0.03, 0.03, 0.04, 0.05, 0.08, 0.10, 0.14, 0.44, 0.41]
Event Rate: [0.37, 0.14, 0.08, 0.03, 0.03, 0.04, 0.05, 0.08, 0.09, 0.13, 0.42, 0.41]
Event Rate: [0.41, 0.16, 0.09, 0.03, 0.04, 0.04, 0.05, 0.09, 0.11, 0.15, 0.45, 0.40]
Event Rate: [0.41, 0.16, 0.09, 0.03, 0.04, 0.05, 0.06, 0.10, 0.12, 0.15, 0.44, 0.40]
Event Rate: [0.41, 0.16, 0.10, 0.03, 0.04, 0.04, 0.06, 0.09, 0.11, 0.15, 0.45, 0.40]
Event Rate: [0.34, 0.13, 0.07, 0.02, 0.03, 0.03, 0.04, 0.07, 0.09, 0.12, 0.43, 0.40]
Event Rate: [0.36, 0.14, 0.08, 0.03, 0.03, 0.04, 0.05, 0.08, 0.09, 0.12, 0.42, 0.40]
Event Rate: [0.39, 0.16, 0.09, 0.03, 0.04, 0.04, 0.05, 0.09, 0.10, 0.14, 0.43, 0.40]
Event Rate: [0.38, 0.15, 0.09, 0.03, 0.03, 0.04, 0.05, 0.08, 0.10, 0.13, 0.42, 0.40]
Event Rate: [0.37, 0.14, 0.08, 0.03, 0.03, 0.04, 0.05, 0.08, 0.09, 0.12, 0.43, 0.40]
Event Rate: [0.34, 0.13, 0.08, 0.03, 0.03, 0.04, 0.05, 0.08, 0.10, 0.13, 0.42, 0.39]
Event Rate: [0.35, 0.13, 0.08, 0.03, 0.03, 0.03, 0.04, 0.07, 0.09, 0.11, 0.41, 0.40]
Event Rate: [0.29, 0.10, 0.06, 0.02, 0.02, 0.03, 0.03, 0.05, 0.07, 0.09, 0.39, 0.40]
Event Rate: [0.39, 0.15, 0.09, 0.03, 0.03, 0.04, 0.05, 0.08, 0.09, 0.12, 0.41, 0.41]
Event Rate: [0.27, 0.10, 0.06, 0.02, 0.02, 0.03, 0.03, 0.05, 0.06, 0.09, 0.39, 0.43]
Event Rate: [0.30, 0.12, 0.07, 0.03, 0.03, 0.03, 0.04, 0.06, 0.08, 0.10, 0.37, 0.43]
Event Rate: [0.44, 0.17, 0.11, 0.04, 0.04, 0.05, 0.06, 0.10, 0.12, 0.16, 0.46, 0.44]
Event Rate: [0.42, 0.17, 0.11, 0.04, 0.04, 0.05, 0.06, 0.10, 0.12, 0.16, 0.45, 0.44]
Event Rate: [0.38, 0.14, 0.09, 0.03, 0.04, 0.04, 0.05, 0.09, 0.11, 0.14, 0.41, 0.43]
Event Rate: [0.41, 0.16, 0.10, 0.04, 0.04, 0.05, 0.06, 0.10, 0.13, 0.16, 0.45, 0.43]
Event Rate: [0.37, 0.13, 0.08, 0.03, 0.03, 0.04, 0.05, 0.08, 0.10, 0.13, 0.40, 0.43]
Event Rate: [0.39, 0.15, 0.09, 0.03, 0.04, 0.04, 0.05, 0.08, 0.11, 0.14, 0.40, 0.43]
Event Rate: [0.39, 0.16, 0.10, 0.03, 0.04, 0.04, 0.05, 0.08, 0.09, 0.13, 0.43, 0.43]
Event Rate: [0.39, 0.15, 0.10, 0.03, 0.04, 0.04, 0.05, 0.08, 0.10, 0.14, 0.44, 0.43]
Event Rate: [0.44, 0.17, 0.10, 0.03, 0.04, 0.04, 0.05, 0.08, 0.10, 0.14, 0.45, 0.43]
Event Rate: [0.37, 0.15, 0.09, 0.03, 0.03, 0.03, 0.04, 0.07, 0.09, 0.12, 0.42, 0.42]
Event Rate: [0.30, 0.11, 0.07, 0.03, 0.03, 0.03, 0.04, 0.06, 0.08, 0.11, 0.38, 0.42]
Event Rate: [0.41, 0.16, 0.11, 0.04, 0.04, 0.05, 0.06, 0.10, 0.12, 0.15, 0.45, 0.43]
Event Rate: [0.42, 0.16, 0.10, 0.04, 0.04, 0.04, 0.05, 0.09, 0.10, 0.14, 0.45, 0.43]
Event Rate: [0.39, 0.15, 0.09, 0.03, 0.04, 0.04, 0.05, 0.08, 0.10, 0.14, 0.43, 0.43]
Event Rate: [0.45, 0.19, 0.12, 0.04, 0.04, 0.04, 0.05, 0.08, 0.11, 0.14, 0.45, 0.43]
Event Rate: [0.36, 0.14, 0.09, 0.03, 0.03, 0.03, 0.04, 0.07, 0.08, 0.11, 0.42, 0.44]
Event Rate: [0.42, 0.17, 0.11, 0.04, 0.04, 0.04, 0.06, 0.09, 0.11, 0.15, 0.45, 0.44]
Event Rate: [0.43, 0.18, 0.12, 0.04, 0.04, 0.04, 0.06, 0.09, 0.11, 0.15, 0.45, 0.44]
Event Rate: [0.33, 0.13, 0.08, 0.03, 0.03, 0.03, 0.04, 0.06, 0.08, 0.11, 0.41, 0.44]
Event Rate: [0.39, 0.15, 0.09, 0.03, 0.03, 0.03, 0.04, 0.06, 0.08, 0.11, 0.42, 0.44]
Event Rate: [0.41, 0.16, 0.10, 0.03, 0.04, 0.04, 0.05, 0.07, 0.09, 0.13, 0.46, 0.44]
Event Rate: [0.41, 0.15, 0.09, 0.03, 0.04, 0.04, 0.05, 0.08, 0.10, 0.13, 0.43, 0.44]
Event Rate: [0.47, 0.19, 0.12, 0.04, 0.05, 0.05, 0.07, 0.10, 0.13, 0.17, 0.46, 0.44]
Event Rate: [0.42, 0.17, 0.10, 0.04, 0.04, 0.04, 0.05, 0.09, 0.11, 0.14, 0.44, 0.44]
Event Rate: [0.32, 0.12, 0.08, 0.03, 0.03, 0.03, 0.04, 0.06, 0.08, 0.11, 0.40, 0.45]
Event Rate: [0.37, 0.14, 0.09, 0.03, 0.04, 0.04, 0.05, 0.08, 0.10, 0.13, 0.43, 0.44]
Event Rate: [0.39, 0.16, 0.10, 0.04, 0.04, 0.05, 0.06, 0.09, 0.12, 0.16, 0.43, 0.45]
Event Rate: [0.42, 0.16, 0.10, 0.04, 0.04, 0.05, 0.06, 0.09, 0.12, 0.16, 0.45, 0.45]
Event Rate: [0.35, 0.14, 0.08, 0.03, 0.04, 0.04, 0.05, 0.07, 0.09, 0.13, 0.40, 0.45]
Event Rate: [0.36, 0.14, 0.09, 0.03, 0.04, 0.04, 0.05, 0.08, 0.10, 0.14, 0.40, 0.45]
Event Rate: [0.40, 0.15, 0.10, 0.04, 0.04, 0.05, 0.06, 0.10, 0.12, 0.16, 0.44, 0.44]
Event Rate: [0.36, 0.14, 0.09, 0.04, 0.04, 0.04, 0.05, 0.08, 0.11, 0.14, 0.42, 0.45]
Event Rate: [0.41, 0.15, 0.09, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.15, 0.45, 0.44]
Event Rate: [0.49, 0.19, 0.11, 0.04, 0.05, 0.05, 0.06, 0.10, 0.12, 0.17, 0.47, 0.44]
Event Rate: [0.33, 0.13, 0.09, 0.03, 0.04, 0.04, 0.05, 0.07, 0.09, 0.12, 0.41, 0.43]
Event Rate: [0.37, 0.14, 0.09, 0.04, 0.04, 0.04, 0.05, 0.08, 0.11, 0.15, 0.45, 0.43]
Event Rate: [0.38, 0.14, 0.09, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.14, 0.43, 0.43]
Event Rate: [0.33, 0.13, 0.08, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.14, 0.38, 0.43]
Event Rate: [0.41, 0.16, 0.10, 0.04, 0.05, 0.06, 0.07, 0.10, 0.12, 0.16, 0.45, 0.43]
Event Rate: [0.27, 0.10, 0.06, 0.02, 0.03, 0.03, 0.03, 0.05, 0.06, 0.09, 0.36, 0.43]
Event Rate: [0.38, 0.14, 0.09, 0.03, 0.04, 0.04, 0.05, 0.07, 0.09, 0.13, 0.42, 0.44]
Event Rate: [0.40, 0.16, 0.10, 0.04, 0.04, 0.05, 0.06, 0.08, 0.11, 0.14, 0.45, 0.44]
Event Rate: [0.40, 0.16, 0.10, 0.04, 0.04, 0.04, 0.05, 0.07, 0.10, 0.13, 0.45, 0.44]
Event Rate: [0.36, 0.14, 0.09, 0.03, 0.04, 0.04, 0.05, 0.07, 0.09, 0.13, 0.40, 0.44]
Event Rate: [0.38, 0.16, 0.11, 0.04, 0.05, 0.06, 0.07, 0.10, 0.13, 0.16, 0.44, 0.44]
Event Rate: [0.31, 0.11, 0.06, 0.02, 0.03, 0.03, 0.04, 0.06, 0.09, 0.12, 0.41, 0.44]
Event Rate: [0.43, 0.18, 0.12, 0.05, 0.06, 0.06, 0.08, 0.12, 0.15, 0.18, 0.44, 0.44]
Event Rate: [0.35, 0.14, 0.09, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.14, 0.42, 0.44]
Event Rate: [0.34, 0.12, 0.07, 0.03, 0.03, 0.04, 0.04, 0.07, 0.09, 0.12, 0.43, 0.44]
Event Rate: [0.35, 0.14, 0.09, 0.03, 0.04, 0.04, 0.05, 0.07, 0.09, 0.12, 0.41, 0.44]
Event Rate: [0.34, 0.14, 0.09, 0.04, 0.04, 0.05, 0.05, 0.08, 0.10, 0.13, 0.42, 0.44]
Event Rate: [0.44, 0.18, 0.11, 0.04, 0.04, 0.05, 0.05, 0.08, 0.10, 0.14, 0.47, 0.44]
Event Rate: [0.35, 0.13, 0.08, 0.03, 0.03, 0.03, 0.04, 0.06, 0.08, 0.11, 0.40, 0.44]
Event Rate: [0.37, 0.15, 0.09, 0.03, 0.04, 0.04, 0.05, 0.07, 0.09, 0.12, 0.44, 0.44]
Event Rate: [0.33, 0.13, 0.08, 0.03, 0.04, 0.04, 0.05, 0.07, 0.09, 0.12, 0.44, 0.44]
Event Rate: [0.41, 0.18, 0.11, 0.04, 0.05, 0.06, 0.08, 0.11, 0.14, 0.17, 0.44, 0.44]
Event Rate: [0.38, 0.16, 0.11, 0.04, 0.05, 0.05, 0.06, 0.09, 0.12, 0.15, 0.45, 0.43]
Event Rate: [0.32, 0.12, 0.08, 0.03, 0.03, 0.04, 0.04, 0.07, 0.09, 0.11, 0.40, 0.43]
Event Rate: [0.41, 0.17, 0.11, 0.04, 0.05, 0.06, 0.07, 0.10, 0.12, 0.15, 0.44, 0.43]
Event Rate: [0.42, 0.17, 0.11, 0.04, 0.05, 0.06, 0.07, 0.10, 0.13, 0.16, 0.46, 0.43]
Event Rate: [0.39, 0.16, 0.11, 0.04, 0.05, 0.06, 0.07, 0.10, 0.12, 0.15, 0.44, 0.42]
Event Rate: [0.33, 0.13, 0.08, 0.03, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.42, 0.43]
Event Rate: [0.43, 0.19, 0.12, 0.05, 0.06, 0.06, 0.08, 0.12, 0.15, 0.18, 0.44, 0.42]
Event Rate: [0.35, 0.14, 0.09, 0.04, 0.04, 0.05, 0.06, 0.09, 0.12, 0.14, 0.40, 0.43]
Event Rate: [0.39, 0.16, 0.10, 0.04, 0.05, 0.06, 0.07, 0.11, 0.14, 0.17, 0.45, 0.43]
Event Rate: [0.36, 0.15, 0.09, 0.04, 0.04, 0.05, 0.06, 0.09, 0.12, 0.15, 0.43, 0.43]
Event Rate: [0.40, 0.17, 0.11, 0.04, 0.05, 0.06, 0.07, 0.10, 0.13, 0.15, 0.41, 0.43]
Event Rate: [0.45, 0.19, 0.12, 0.05, 0.06, 0.07, 0.08, 0.12, 0.15, 0.18, 0.45, 0.43]
Event Rate: [0.38, 0.15, 0.09, 0.04, 0.04, 0.05, 0.06, 0.09, 0.12, 0.15, 0.44, 0.44]
Event Rate: [0.38, 0.15, 0.10, 0.04, 0.05, 0.06, 0.07, 0.10, 0.13, 0.16, 0.45, 0.44]
