Event Rate: [0.34, 0.13, 0.08, 0.04, 0.04, 0.05, 0.08, 0.13, 0.14, 0.16, 0.48, 0.45]
Event Rate: [0.38, 0.16, 0.10, 0.05, 0.05, 0.07, 0.11, 0.16, 0.17, 0.19, 0.47, 0.45]
Event Rate: [0.49, 0.21, 0.12, 0.04, 0.04, 0.05, 0.08, 0.12, 0.14, 0.16, 0.50, 0.45]
Event Rate: [0.39, 0.16, 0.10, 0.04, 0.04, 0.05, 0.08, 0.12, 0.14, 0.15, 0.49, 0.45]
Event Rate: [0.43, 0.18, 0.11, 0.05, 0.04, 0.06, 0.10, 0.14, 0.16, 0.18, 0.50, 0.45]
Event Rate: [0.41, 0.16, 0.09, 0.04, 0.04, 0.06, 0.10, 0.14, 0.15, 0.16, 0.49, 0.45]
Event Rate: [0.42, 0.18, 0.11, 0.05, 0.04, 0.06, 0.09, 0.14, 0.16, 0.17, 0.50, 0.45]
Event Rate: [0.30, 0.12, 0.08, 0.03, 0.03, 0.04, 0.07, 0.11, 0.12, 0.13, 0.44, 0.45]
Event Rate: [0.41, 0.17, 0.10, 0.04, 0.04, 0.05, 0.09, 0.13, 0.15, 0.16, 0.48, 0.45]
Event Rate: [0.43, 0.18, 0.11, 0.04, 0.04, 0.05, 0.08, 0.13, 0.14, 0.16, 0.49, 0.45]
Event Rate: [0.40, 0.17, 0.10, 0.04, 0.04, 0.05, 0.09, 0.14, 0.15, 0.17, 0.48, 0.46]
Event Rate: [0.46, 0.19, 0.12, 0.06, 0.05, 0.08, 0.12, 0.17, 0.19, 0.21, 0.48, 0.46]
Event Rate: [0.33, 0.13, 0.09, 0.05, 0.05, 0.06, 0.10, 0.14, 0.16, 0.17, 0.47, 0.46]
Event Rate: [0.39, 0.16, 0.09, 0.04, 0.04, 0.05, 0.08, 0.12, 0.14, 0.15, 0.47, 0.46]
Event Rate: [0.34, 0.14, 0.09, 0.04, 0.04, 0.06, 0.10, 0.13, 0.15, 0.16, 0.46, 0.46]
Event Rate: [0.36, 0.15, 0.09, 0.04, 0.04, 0.05, 0.08, 0.12, 0.13, 0.14, 0.48, 0.46]
Event Rate: [0.38, 0.16, 0.09, 0.04, 0.04, 0.06, 0.10, 0.13, 0.15, 0.16, 0.49, 0.46]
Event Rate: [0.32, 0.13, 0.08, 0.04, 0.04, 0.06, 0.09, 0.13, 0.15, 0.16, 0.45, 0.46]
