Event Rate: [0.86, 0.15, 0.50, 0.74, 0.86, 0.56, 1.00, 1.00, 0.19, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.11, 0.14, 0.97, 0.04, 0.63, 0.96]
Event Rate: [0.85, 0.16, 0.52, 0.75, 0.86, 0.57, 1.00, 1.00, 0.21, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.13, 0.15, 0.97, 0.06, 0.75, 1.00]
Event Rate: [0.85, 0.16, 0.50, 0.73, 0.85, 0.56, 1.00, 1.00, 0.23, 0.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.14, 0.16, 0.97, 0.08, 0.79, 1.00]
Event Rate: [0.85, 0.18, 0.52, 0.75, 0.86, 0.58, 1.00, 1.00, 0.26, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.16, 0.17, 0.98, 0.10, 0.86, 1.00]
Event Rate: [0.86, 0.18, 0.52, 0.75, 0.86, 0.58, 1.00, 1.00, 0.27, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.19, 0.18, 0.98, 0.13, 0.89, 1.00]
Event Rate: [0.86, 0.19, 0.54, 0.76, 0.86, 0.58, 1.00, 1.00, 0.29, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.21, 0.19, 0.98, 0.15, 0.90, 1.00]
Event Rate: [0.85, 0.20, 0.53, 0.75, 0.85, 0.58, 1.00, 1.00, 0.31, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.23, 0.21, 0.98, 0.19, 0.91, 1.00]
Event Rate: [0.86, 0.21, 0.55, 0.76, 0.86, 0.60, 1.00, 1.00, 0.34, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.26, 0.23, 0.99, 0.23, 0.92, 1.00]
Event Rate: [0.85, 0.20, 0.52, 0.73, 0.84, 0.57, 1.00, 1.00, 0.34, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.27, 0.22, 0.98, 0.24, 0.91, 1.00]
Event Rate: [0.86, 0.21, 0.54, 0.74, 0.84, 0.58, 1.00, 1.00, 0.35, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.28, 0.24, 0.99, 0.25, 0.90, 1.00]
Event Rate: [0.86, 0.22, 0.55, 0.75, 0.85, 0.59, 1.00, 1.00, 0.35, 0.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.28, 0.24, 0.98, 0.26, 0.91, 1.00]
Event Rate: [0.85, 0.22, 0.53, 0.74, 0.84, 0.58, 1.00, 1.00, 0.34, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.27, 0.23, 0.98, 0.24, 0.89, 1.00]
